model,2nd_model,type,feature,importance,std,column
RandomForestRegressor,GradientBoostingRegressor,voting,,0.444, +/- 0.055,day_of_year
RandomForestRegressor,GradientBoostingRegressor,voting,,0.155, +/- 0.046,next_week
RandomForestRegressor,GradientBoostingRegressor,voting,,0.036, +/- 0.042,week_of_year
RandomForestRegressor,GradientBoostingRegressor,voting,,-0.014, +/- 0.026,day_of_week
RandomForestRegressor,GradientBoostingRegressor,voting,,-0.015, +/- 0.006,month
RandomForestRegressor,GradientBoostingRegressor,voting,,-0.033, +/- 0.022,next_day
RandomForestRegressor,GradientBoostingRegressor,voting,,-0.074, +/- 0.057,day
RandomForestRegressor,GradientBoostingRegressor,voting,,-0.090, +/- 0.034,prev_day
RandomForestRegressor,GradientBoostingRegressor,cascade,,1434.290, +/- 22.983,preds
RandomForestRegressor,GradientBoostingRegressor,cascade,,103.205, +/- 1.568,ts
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.034, +/- 0.008,prev_week
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.005, +/- 0.007,next_hour
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.004, +/- 0.001,prev_hour
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.002, +/- 0.002,hour
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.002, +/- 0.007,year
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.001, +/- 0.001,next_day
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,month
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,next_week
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,prev_day
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day_of_week
RandomForestRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day
RandomForestRegressor,GradientBoostingRegressor,cascade,,-0.001, +/- 0.003,day_of_year
RandomForestRegressor,GradientBoostingRegressor,cascade,,-0.003, +/- 0.000,week_of_year
XGBoostRegressor,,plain,,771.540, +/- 10.012,ts
XGBoostRegressor,,plain,,5.827, +/- 0.054,hour
XGBoostRegressor,,plain,,4.411, +/- 0.054,next_hour
XGBoostRegressor,,plain,,4.378, +/- 0.270,year
XGBoostRegressor,,plain,,3.435, +/- 0.139,prev_hour
XGBoostRegressor,,plain,,3.358, +/- 0.102,day_of_year
XGBoostRegressor,,plain,,2.104, +/- 0.418,prev_week
XGBoostRegressor,,plain,,1.312, +/- 0.010,day_of_week
XGBoostRegressor,,plain,,1.298, +/- 0.174,next_week
XGBoostRegressor,,plain,,0.121, +/- 0.080,day
XGBoostRegressor,,plain,,0.039, +/- 0.061,next_day
XGBoostRegressor,,plain,,0.000, +/- 0.000,week_of_year
XGBoostRegressor,,plain,,-0.000, +/- 0.002,month
XGBoostRegressor,,plain,,-0.011, +/- 0.012,prev_day
XGBoostRegressor,DecisionTreeRegressor,voting,,795.979, +/- 8.970,ts
XGBoostRegressor,DecisionTreeRegressor,voting,,8.174, +/- 0.017,next_hour
XGBoostRegressor,DecisionTreeRegressor,voting,,4.110, +/- 0.574,prev_week
XGBoostRegressor,DecisionTreeRegressor,voting,,3.677, +/- 0.282,day_of_year
XGBoostRegressor,DecisionTreeRegressor,voting,,3.668, +/- 0.266,prev_hour
XGBoostRegressor,DecisionTreeRegressor,voting,,3.467, +/- 0.227,hour
XGBoostRegressor,DecisionTreeRegressor,voting,,3.227, +/- 0.235,year
XGBoostRegressor,DecisionTreeRegressor,voting,,2.919, +/- 0.665,next_week
XGBoostRegressor,DecisionTreeRegressor,voting,,1.739, +/- 0.290,day_of_week
XGBoostRegressor,DecisionTreeRegressor,voting,,1.280, +/- 0.087,week_of_year
XGBoostRegressor,DecisionTreeRegressor,voting,,0.563, +/- 0.115,prev_day
