model,2nd_model,type,feature,importance,std,column
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,hour
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,year
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,next_hour
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day_of_week
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,week_of_year
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,next_week
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,prev_week
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,month
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,next_day
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,pt08.s4(no2)
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,day
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,ts
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,pt08.s5(o3)
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,c6h6(gt)
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,pt08.s2(nmhc)
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.004, +/- 0.001,pt08.s3(nox)
RandomForestRegressor,,plain,,2.581, +/- 0.127,ts
RandomForestRegressor,,plain,,0.109, +/- 0.004,hour
RandomForestRegressor,,plain,,0.056, +/- 0.000,prev_hour
RandomForestRegressor,,plain,,0.047, +/- 0.005,next_hour
RandomForestRegressor,,plain,,0.029, +/- 0.001,pt08.s2(nmhc)
RandomForestRegressor,,plain,,0.021, +/- 0.003,pt08.s3(nox)
RandomForestRegressor,,plain,,0.017, +/- 0.002,pt08.s1(co)
RandomForestRegressor,,plain,,0.011, +/- 0.003,rh
RandomForestRegressor,,plain,,0.009, +/- 0.004,ah
RandomForestRegressor,,plain,,0.008, +/- 0.001,pt08.s5(o3)
RandomForestRegressor,,plain,,0.007, +/- 0.004,t
RandomForestRegressor,,plain,,0.006, +/- 0.002,pt08.s4(no2)
RandomForestRegressor,,plain,,0.004, +/- 0.000,c6h6(gt)
RandomForestRegressor,,plain,,0.004, +/- 0.001,day
RandomForestRegressor,,plain,,0.001, +/- 0.001,day_of_year
RandomForestRegressor,,plain,,0.001, +/- 0.000,next_day
RandomForestRegressor,,plain,,0.001, +/- 0.000,year
RandomForestRegressor,,plain,,0.000, +/- 0.001,prev_week
RandomForestRegressor,,plain,,-0.000, +/- 0.000,next_week
RandomForestRegressor,,plain,,-0.000, +/- 0.001,prev_day
RandomForestRegressor,,plain,,-0.000, +/- 0.001,month
RandomForestRegressor,,plain,,-0.000, +/- 0.001,day_of_week
RandomForestRegressor,,plain,,-0.001, +/- 0.001,week_of_year
RandomForestRegressor,DecisionTreeRegressor,voting,,2.491, +/- 0.086,ts
RandomForestRegressor,DecisionTreeRegressor,voting,,0.154, +/- 0.012,hour
RandomForestRegressor,DecisionTreeRegressor,voting,,0.092, +/- 0.010,next_hour
RandomForestRegressor,DecisionTreeRegressor,voting,,0.089, +/- 0.012,prev_hour
RandomForestRegressor,DecisionTreeRegressor,voting,,0.075, +/- 0.006,pt08.s1(co)
RandomForestRegressor,DecisionTreeRegressor,voting,,0.074, +/- 0.004,pt08.s2(nmhc)
RandomForestRegressor,DecisionTreeRegressor,voting,,0.072, +/- 0.002,pt08.s3(nox)
RandomForestRegressor,DecisionTreeRegressor,voting,,0.033, +/- 0.005,rh
RandomForestRegressor,DecisionTreeRegressor,voting,,0.025, +/- 0.010,t
RandomForestRegressor,DecisionTreeRegressor,voting,,0.024, +/- 0.006,pt08.s4(no2)
RandomForestRegressor,DecisionTreeRegressor,voting,,0.020, +/- 0.014,ah
RandomForestRegressor,DecisionTreeRegressor,voting,,0.014, +/- 0.001,c6h6(gt)
RandomForestRegressor,DecisionTreeRegressor,voting,,0.012, +/- 0.003,pt08.s5(o3)
RandomForestRegressor,DecisionTreeRegressor,voting,,0.010, +/- 0.003,day
RandomForestRegressor,DecisionTreeRegressor,voting,,0.008, +/- 0.006,next_day
RandomForestRegressor,DecisionTreeRegressor,voting,,0.008, +/- 0.001,week_of_year
RandomForestRegressor,DecisionTreeRegressor,voting,,0.006, +/- 0.004,prev_day
RandomForestRegressor,DecisionTreeRegressor,voting,,0.004, +/- 0.002,next_week
RandomForestRegressor,DecisionTreeRegressor,voting,,0.001, +/- 0.002,day_of_year
RandomForestRegressor,DecisionTreeRegressor,voting,,-0.001, +/- 0.000,year
RandomForestRegressor,DecisionTreeRegressor,voting,,-0.001, +/- 0.001,prev_week
RandomForestRegressor,DecisionTreeRegressor,voting,,-0.001, +/- 0.001,day_of_week
RandomForestRegressor,DecisionTreeRegressor,voting,,-0.001, +/- 0.003,month
RandomForestRegressor,DecisionTreeRegressor,cascade,,4.903, +/- 0.214,preds
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.112, +/- 0.010,ts
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.010, +/- 0.002,next_hour
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.010, +/- 0.002,c6h6(gt)
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.008, +/- 0.001,pt08.s5(o3)
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.008, +/- 0.002,pt08.s1(co)
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.007, +/- 0.002,prev_hour
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.004, +/- 0.004,rh
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.004, +/- 0.002,ah
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.004, +/- 0.002,pt08.s2(nmhc)
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.004, +/- 0.003,pt08.s3(nox)
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.004, +/- 0.001,hour
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.001, +/- 0.000,next_week
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.001, +/- 0.000,month
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.001,day_of_year
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.000, +/- 0.000,day
RandomForestRegressor,DecisionTreeRegressor,cascade,,-0.000, +/- 0.001,pt08.s4(no2)
RandomForestRegressor,DecisionTreeRegressor,cascade,,-0.000, +/- 0.001,year
RandomForestRegressor,DecisionTreeRegressor,cascade,,-0.000, +/- 0.000,prev_week
RandomForestRegressor,DecisionTreeRegressor,cascade,,-0.000, +/- 0.001,next_day
RandomForestRegressor,DecisionTreeRegressor,cascade,,-0.001, +/- 0.001,week_of_year
